,Sr. No,Symbol,Name of the company,Last Price,Previous Close,Open,Day High,Day Low,Close Price
699,700,KOPDRUGS,KDL Biotech Limited,0,0,0,0,0,0
700,701,KOPRAN,Kopran Limited,60.10,58.95,59.40,60.80,57.70,59.95
701,702,KOTAKBANK,Kotak Mahindra Bank Limited,"1,295.00","1,275.45","1,277.95","1,306.85","1,272.50","1,295.85"
702,703,KOTARISUG,Kothari Sugars And Chemicals Limited,10.75,11.30,11.30,11.40,10.15,10.70
703,704,KOTHARIPET,Kothari Petrochemicals Limited,25.60,25.35,25.40,27.00,25.35,25.65
704,705,KOTHARIPRO,Kothari Products Limited,142.60,143.25,142.60,147.35,140.40,143.40
705,706,KOUTONS,Koutons Retail India Limited,0,0,0,0,0,0
706,707,KPIT,KPIT Cummins Infosystems Limited,270.15,270.85,272.40,278.40,269.20,271.00
707,708,KPRMILL,K.P.R. Mill Limited,631.95,617.30,617.30,632.35,609.05,622.60
708,709,KRBL,KRBL Limited,463.00,439.15,441.95,464.90,437.50,460.80
709,710,KRISHNAENG,Krishna Engineering Works Limited,0,0,0,0,0,0
710,711,KSBPUMPS,KSB Pumps Limited,815.00,791.15,798.90,819.90,787.95,810.25
711,712,KSCL,Kaveri Seed Company Limited,509.00,506.95,512.00,523.15,487.25,512.10
712,713,KSERASERA,K Sera Sera Limited,0.20,0.20,0.20,0.25,0.15,0.20
713,714,KSK,KSK Energy Ventures Limited,3.90,3.95,4.00,4.05,3.80,3.80
714,715,KSL,Kalyani Steels Limited,271.00,272.10,272.05,274.50,270.00,271.60
715,716,KSOILS,K S Oils Limited,0,0,0,0,0,0
716,717,KTIL,Kesar Terminals & Infrastructure Limited,104.90,103.75,107.85,107.85,100.35,103.75
717,718,KTKBANK,The Karnataka Bank Limited,118.65,116.75,117.30,119.15,115.75,118.70
718,719,LAKPRE,Lakshmi Precision Screws Limited,26.00,25.95,27.35,27.40,25.85,26.00
719,720,LAKSHMIEFL,Lakshmi Energy and Foods Limited,16.60,16.80,18.15,18.15,15.70,16.75
720,721,LAKSHVILAS,Lakshmi Vilas Bank Limited,96.00,94.60,94.65,97.00,94.50,96.10
721,722,LANCOIN,Lanco Industries Limited,0,0,0,0,0,0
722,723,LAOPALA,La Opala RG Limited,275.00,272.25,272.35,277.00,272.00,275.10
723,724,LAXMIMACH,Lakshmi Machine Works Limited,"8,250.00","8,133.35","8,133.35","8,260.00","8,084.05","8,244.50"
724,725,LGBBROSLTD,LG Balakrishnan & Bros Limited,"1,260.00","1,243.60","1,249.80","1,274.50","1,246.55","1,265.05"
725,726,LGBFORGE,LGB Forge Limited,4.00,4.00,0.00,0.00,0.00,0.00
726,727,LIBERTSHOE,Liberty Shoes Limited,192.50,191.40,193.55,199.00,190.80,191.85
727,728,LICHSGFIN,LIC Housing Finance Limited,482.80,471.00,472.40,484.95,470.45,482.90
728,729,LITL,Lanco Infratech Limited,0.80,0.80,0.80,0.85,0.80,0.85
729,730,LLOYDELENG,Lloyd Electric & Engineering Limited,0,0,0,0,0,0
730,731,LLOYDFIN,Lloyds Finance Limited,0,0,0,0,0,0
731,732,LLOYDSTEEL,Lloyds Steel Industries Limited,0,0,0,0,0,0
732,733,LML,LML Limited,0,0,0,0,0,0
733,734,LOGIXMICRO,Logix Microsystems Limited,0,0,0,0,0,0
734,735,LOKESHMACH,Lokesh Machines Limited,65.00,64.40,64.35,66.90,63.50,64.80
735,736,LOTUSEYE,Lotus Eye Care Hospital Limited,29.60,29.85,30.00,30.05,29.50,29.60
736,737,LOVABLE,Lovable Lingerie Limited,175.00,152.65,155.00,177.75,155.00,175.10
737,738,LPDC,Landmark Property Development Company    Limited,3.20,3.25,3.35,3.35,3.20,3.20
738,739,LT,Larsen & Toubro Limited,"1,339.20","1,338.05","1,340.95","1,347.60","1,331.75","1,342.00"
739,740,LUMAXAUTO,Lumax Automotive Systems Limited,0,0,0,0,0,0
740,741,LUMAXIND,Lumax Industries Limited,"2,226.00","2,235.10","2,244.15","2,263.05","2,225.40","2,244.05"
741,742,LUMAXTECH,Lumax Auto Technologies Limited,780.00,783.20,780.00,803.75,777.00,784.30
742,743,LUPIN,Lupin Limited,745.00,742.35,743.05,747.35,733.10,745.60
743,744,LYKALABS,Lyka Labs Limited,37.00,36.35,36.20,38.00,36.05,36.75
